"LATITUDE","LONGITUDE","GEOGRAPHY_NAME","GEOGRAPHY_NAME_TYPE","NUMERIC_VALUE","NUMERIC_VALUE_TYPE","GEOGRAPHIC_POPULATION","NUMERIC_VALUE_FOR_COLORING","OPACITY_VALUE_0_THRU_LT_1","RADIUS_VALUE_0_THRU_100","RECORD_NO","COLOR_NAME"
"38.3776160000","-81.8192510000","St. Albans city,WV","City","29.0000000000","Weather (NRP)","10270","-29",".13","1","58","RED"
"36.6211450000","-119.3187500000","Orange Cove city,CA","City","37.0000000000","Weather (NRP)","10274","-37",".89","1","59","ORANGE"
"27.9585070000","-81.9812120000","Medulla CDP,FL","City","75.0000000000","Weather (NRP)","10275","-75",".75","1","60","YELLOW"
"28.9329940000","-82.4761820000","Pine Ridge CDP,FL","City","78.0000000000","Weather (NRP)","10278","-78",".66","1","61","YELLOW"
"44.8501420000","-123.2280700000","Monmouth city,OR","City","1.0000000000","Weather (NRP)","10282","-1",".97","1","62","RED"
"42.8889990000","-77.2803210000","Canandaigua city,NY","City","76.0000000000","Weather (NRP)","10287","-76",".72","1","63","YELLOW"
"40.5677490000","-74.5372500000","Bound Brook borough,NJ","City","61.0000000000","Weather (NRP)","10288","-61",".17","1","64","ORANGE"
"41.0063760000","-91.9666280000","Fairfield city,IA","City","92.0000000000","Weather (NRP)","10290","-92",".24","1","65","YELLOW"
"39.6418410000","-86.8463390000","Greencastle city,IN","City","90.0000000000","Weather (NRP)","10296","-90",".30","1","66","YELLOW"
"40.7996040000","-77.9083840000","Park Forest Village CDP,PA","City","77.0000000000","Weather (NRP)","10299","-77",".69","1","67","YELLOW"
"41.2004660000","-75.9997040000","Nanticoke city,PA","City","11.0000000000","Weather (NRP)","10304","-11",".67","1","68","RED"
"43.0441200000","-85.6763230000","Comstock Park CDP,MI","City","34.0000000000","Weather (NRP)","10306","-34",".98","1","69","ORANGE"
"32.7748580000","-91.9077560000","Bastrop city,LA","City","13.0000000000","Weather (NRP)","10311","-13",".61","1","70","RED"
"42.5374350000","-113.7926020000","Burley city,ID","City","86.0000000000","Weather (NRP)","10313","-86",".42","1","71","YELLOW"
"39.3172370000","-74.6063830000","Somers Point city,NJ","City","18.0000000000","Weather (NRP)","10321","-18",".46","1","72","RED"
"34.8585170000","-111.7930570000","Sedona city,AZ","City","68.0000000000","Weather (NRP)","10322","-68",".96","1","73","YELLOW"
"40.4095460000","-91.4025110000","Keokuk city,IA","City","98.0000000000","Weather (NRP)","10324","-98",".06","1","74","YELLOW"
"41.0048770000","-75.1714570000","East Stroudsburg borough,PA","City","70.0000000000","Weather (NRP)","10333","-70",".90","1","75","YELLOW"
"38.7396720000","-89.8825470000","Troy city,IL","City","45.0000000000","Weather (NRP)","10336","-45",".65","1","76","ORANGE"
"39.3228490000","-81.5298050000","Vienna city,WV","City","85.0000000000","Weather (NRP)","10348","-85",".45","1","77","YELLOW"
"42.2786070000","-83.1822550000","Melvindale city,MI","City","59.0000000000","Weather (NRP)","10348","-59",".23","1","78","ORANGE"
"39.2242280000","-84.4333430000","Reading city,OH","City","59.0000000000","Weather (NRP)","10353","-59",".23","1","79","ORANGE"
"43.6996710000","-85.4812500000","Big Rapids city,MI","City","80.0000000000","Weather (NRP)","10355","-80",".60","1","80","YELLOW"
"40.0210470000","-81.5855480000","Cambridge city,OH","City","12.0000000000","Weather (NRP)","10360","-12",".64","1","81","RED"
"29.6448700000","-81.6767360000","Palatka city,FL","City","77.0000000000","Weather (NRP)","10363","-77",".69","1","82","YELLOW"
"38.3412140000","-90.1527160000","Waterloo city,IL","City","80.0000000000","Weather (NRP)","10367","-80",".60","1","83","YELLOW"
"30.4801840000","-90.1118260000","Covington city,LA","City","67.0000000000","Weather (NRP)","10372","-67",".99","1","84","YELLOW"
"27.4713960000","-81.4515680000","Sebring city,FL","City","86.0000000000","Weather (NRP)","10377","-86",".42","1","85","YELLOW"
"28.3932260000","-80.6047910000","Cape Canaveral city,FL","City","89.0000000000","Weather (NRP)","10377","-89",".33","1","86","YELLOW"
"40.0348550000","-76.4958890000","Columbia borough,PA","City","41.0000000000","Weather (NRP)","10382","-41",".77","1","87","ORANGE"
"40.5554890000","-84.5614220000","Celina city,OH","City","95.0000000000","Weather (NRP)","10386","-95",".15","1","88","YELLOW"
"28.2632510000","-82.6942000000","New Port Richey East CDP,FL","City","80.0000000000","Weather (NRP)","10398","-80",".60","1","89","YELLOW"
"41.5606460000","-81.5077000000","Richmond Heights city,OH","City","76.0000000000","Weather (NRP)","10406","-76",".72","1","90","YELLOW"
"43.5489510000","-89.4658660000","Portage city,WI","City","85.0000000000","Weather (NRP)","10406","-85",".45","1","91","YELLOW"
"40.4497550000","-122.2950700000","Anderson city,CA","City","2.0000000000","Weather (NRP)","10407","-2",".94","1","92","RED"
"38.0366050000","-122.2539560000","Rodeo CDP,CA","City","27.0000000000","Weather (NRP)","10409","-27",".19","1","93","RED"
"32.2120790000","-82.4021870000","Vidalia city,GA","City","82.0000000000","Weather (NRP)","10409","-82",".54","1","94","YELLOW"
"34.0331200000","-80.9731600000","Forest Acres city,SC","City","32.0000000000","Weather (NRP)","10412","-32",".04","1","95","RED"
"29.5864740000","-98.3152860000","Selma city,TX","City","11.0000000000","Weather (NRP)","10419","-11",".67","1","96","RED"
"44.2513270000","-85.4139860000","Cadillac city,MI","City","67.0000000000","Weather (NRP)","10419","-67",".99","1","97","YELLOW"
"41.4900940000","-87.5706240000","Sauk Village village,IL","City","83.0000000000","Weather (NRP)","10423","-83",".51","1","98","YELLOW"
"36.4270880000","-89.0477200000","Union City city,TN","City","97.0000000000","Weather (NRP)","10424","-97",".09","1","99","YELLOW"
"28.8929210000","-99.0971690000","Pearsall city,TX","City","87.0000000000","Weather (NRP)","10436","-87",".39","1","100","YELLOW"
"39.7889740000","-74.9868840000","Pine Hill borough,NJ","City","53.0000000000","Weather (NRP)","10442","-53",".41","1","101","ORANGE"
"45.0232650000","-93.0836550000","Little Canada city,MN","City","42.0000000000","Weather (NRP)","10451","-42",".74","1","102","ORANGE"
"27.5897030000","-81.5072780000","Avon Park city,FL","City","83.0000000000","Weather (NRP)","10461","-83",".51","1","103","YELLOW"
"42.4406580000","-79.3319000000","Fredonia village,NY","City","26.0000000000","Weather (NRP)","10464","-26",".22","1","104","RED"
"28.6004800000","-81.3977510000","Fairview Shores CDP,FL","City","59.0000000000","Weather (NRP)","10467","-59",".23","1","105","ORANGE"
"41.8121840000","-87.8185890000","Lyons village,IL","City","53.0000000000","Weather (NRP)","10470","-53",".41","1","106","ORANGE"
"28.4546660000","-81.3695720000","Pine Castle CDP,FL","City","57.0000000000","Weather (NRP)","10474","-57",".29","1","107","ORANGE"
"36.2940730000","-119.1459540000","Exeter city,CA","City","30.0000000000","Weather (NRP)","10474","-30",".10","1","108","RED"
"41.4080050000","-82.3172540000","Vermilion city,OH","City","85.0000000000","Weather (NRP)","10479","-85",".45","1","109","YELLOW"
"27.6756210000","-80.4251570000","Gifford CDP,FL","City","26.0000000000","Weather (NRP)","10479","-26",".22","1","110","RED"
"29.9603550000","-90.1559120000","Jefferson CDP,LA","City","52.0000000000","Weather (NRP)","10501","-52",".44","1","111","ORANGE"
"34.1476640000","-99.3004270000","Vernon city,TX","City","92.0000000000","Weather (NRP)","10509","-92",".24","1","112","YELLOW"
"40.6207810000","-91.3494700000","Fort Madison city,IA","City","55.0000000000","Weather (NRP)","10513","-55",".35","1","113","ORANGE"
"38.7528740000","-90.2279890000","Bellefontaine Neighbors city,MO","City","61.0000000000","Weather (NRP)","10517","-61",".17","1","114","ORANGE"
"25.6332900000","-80.3712260000","Richmond Heights CDP,FL","City","48.0000000000","Weather (NRP)","10524","-48",".56","1","115","ORANGE"
"28.2795370000","-82.2413360000","Pasadena Hills CDP,FL","City","78.0000000000","Weather (NRP)","10530","-78",".66","1","116","YELLOW"
"39.9529520000","-83.1320200000","Lincoln Village CDP,OH","City","37.0000000000","Weather (NRP)","10549","-37",".89","1","117","ORANGE"
"31.6014510000","-97.0890370000","Bellmead city,TX","City","10.0000000000","Weather (NRP)","10556","-10",".70","1","118","RED"
"28.9642400000","-98.4956510000","Pleasanton city,TX","City","73.0000000000","Weather (NRP)","10557","-73",".81","1","119","YELLOW"
"42.6430950000","-95.1960300000","Storm Lake city,IA","City","96.0000000000","Weather (NRP)","10558","-96",".12","1","120","YELLOW"
"44.6208690000","-124.0430410000","Newport city,OR","City","81.0000000000","Weather (NRP)","10559","-81",".57","1","121","YELLOW"
"32.3474450000","-84.7880210000","Cusseta-Chattahoochee County unified government,GA","City","13.0000000000","Weather (NRP)","10560","-13",".61","1","122","RED"
"41.4035460000","-81.5023470000","Bedford Heights city,OH","City","64.0000000000","Weather (NRP)","10565","-64",".08","1","123","ORANGE"
"40.4516980000","-109.5380110000","Vernal city,UT","City","17.0000000000","Weather (NRP)","10574","-17",".49","1","124","RED"
"31.3481700000","-89.2351310000","Petal city,MS","City","87.0000000000","Weather (NRP)","10584","-87",".39","1","125","YELLOW"
"39.5625520000","-95.1366110000","Atchison city,KS","City","83.0000000000","Weather (NRP)","10598","-83",".51","1","126","YELLOW"
"38.5325960000","-82.6780900000","Ironton city,OH","City","11.0000000000","Weather (NRP)","10599","-11",".67","1","127","RED"
"27.9634730000","-81.8786230000","Highland City CDP,FL","City","95.0000000000","Weather (NRP)","10602","-95",".15","1","128","YELLOW"
"47.7410760000","-122.6421520000","Poulsbo city,WA","City","8.0000000000","Weather (NRP)","10602","-8",".76","1","129","RED"
"45.0867940000","-87.6324430000","Marinette city,WI","City","63.0000000000","Weather (NRP)","10608","-63",".11","1","130","ORANGE"
"42.6029520000","-89.6380930000","Monroe city,WI","City","93.0000000000","Weather (NRP)","10625","-93",".21","1","131","YELLOW"
"32.4693890000","-100.4086510000","Sweetwater city,TX","City","88.0000000000","Weather (NRP)","10626","-88",".36","1","132","YELLOW"
"33.6062360000","-88.6575680000","West Point city,MS","City","44.0000000000","Weather (NRP)","10626","-44",".68","1","133","ORANGE"
"41.6882110000","-87.7925770000","Worth village,IL","City","45.0000000000","Weather (NRP)","10633","-45",".65","1","134","ORANGE"
"36.3378850000","-88.8513650000","Martin city,TN","City","97.0000000000","Weather (NRP)","10635","-97",".09","1","135","YELLOW"
"44.7091800000","-75.4632710000","Ogdensburg city,NY","City","73.0000000000","Weather (NRP)","10635","-73",".81","1","136","YELLOW"
"39.9407590000","-75.2760300000","Lansdowne borough,PA","City","73.0000000000","Weather (NRP)","10638","-73",".81","1","137","YELLOW"
"33.7114010000","-85.8536980000","Saks CDP,AL","City","14.0000000000","Weather (NRP)","10645","-14",".58","1","138","RED"
"35.3337140000","-89.8995390000","Millington city,TN","City","67.0000000000","Weather (NRP)","10645","-67",".99","1","139","YELLOW"
"29.7663770000","-95.2412180000","Jacinto City city,TX","City","29.0000000000","Weather (NRP)","10667","-29",".13","1","140","RED"
"33.5917540000","-79.0065470000","Garden City CDP,SC","City","70.0000000000","Weather (NRP)","10669","-70",".90","1","141","YELLOW"
"34.1273800000","-93.0708510000","Arkadelphia city,AR","City","75.0000000000","Weather (NRP)","10670","-75",".75","1","142","YELLOW"
"39.2466850000","-84.5796240000","Northbrook CDP,OH","City","59.0000000000","Weather (NRP)","10684","-59",".23","1","143","ORANGE"
"40.6329960000","-80.5673930000","East Liverpool city,OH","City","87.0000000000","Weather (NRP)","10692","-87",".39","1","144","YELLOW"
"39.9209530000","-75.2610820000","Darby borough,PA","City","64.0000000000","Weather (NRP)","10695","-64",".08","1","145","ORANGE"
"42.1481950000","-77.0564010000","Corning city,NY","City","15.0000000000","Weather (NRP)","10696","-15",".55","1","146","RED"
"29.7234890000","-90.6297510000","Raceland CDP,LA","City","91.0000000000","Weather (NRP)","10698","-91",".27","1","147","YELLOW"
"35.7685720000","-91.6226520000","Batesville city,AR","City","94.0000000000","Weather (NRP)","10706","-94",".18","1","148","YELLOW"
"41.7755410000","-111.8066540000","North Logan city,UT","City","47.0000000000","Weather (NRP)","10711","-47",".59","1","149","ORANGE"
"36.3050000000","-119.2083040000","Farmersville city,CA","City","29.0000000000","Weather (NRP)","10716","-29",".13","1","150","RED"
"33.4747780000","-86.9194130000","Fairfield city,AL","City","48.0000000000","Weather (NRP)","10720","-48",".56","1","151","ORANGE"
"35.4618520000","-86.0832360000","Manchester city,TN","City","98.0000000000","Weather (NRP)","10721","-98",".06","1","152","YELLOW"
"42.4282090000","-88.1839320000","Fox Lake village,IL","City","84.0000000000","Weather (NRP)","10721","-84",".48","1","153","YELLOW"
"30.1281390000","-93.9917330000","Vidor city,TX","City","25.0000000000","Weather (NRP)","10725","-25",".25","1","154","RED"
"33.1807030000","-80.0071970000","Moncks Corner town,SC","City","16.0000000000","Weather (NRP)","10743","-16",".52","1","155","RED"
"40.0208140000","-82.4420750000","Heath city,OH","City","69.0000000000","Weather (NRP)","10745","-69",".93","1","156","YELLOW"
"43.2019210000","-86.2409630000","Muskegon Heights city,MI","City","22.0000000000","Weather (NRP)","10748","-22",".34","1","157","RED"
"34.5313250000","-90.6200570000","Helena-West Helena city,AR","City","84.0000000000","Weather (NRP)","10749","-84",".48","1","158","YELLOW"
"31.9560900000","-83.7700770000","Cordele city,GA","City","71.0000000000","Weather (NRP)","10752","-71",".87","1","159","YELLOW"
"42.7811070000","-96.9256270000","Vermillion city,SD","City","90.0000000000","Weather (NRP)","10753","-90",".30","1","160","YELLOW"
"41.4347400000","-81.7491800000","Brooklyn city,OH","City","64.0000000000","Weather (NRP)","10773","-64",".08","1","161","ORANGE"
"40.8434310000","-74.0342390000","Little Ferry borough,NJ","City","53.0000000000","Weather (NRP)","10782","-53",".41","1","162","ORANGE"
"30.2127390000","-90.9224020000","Gonzales city,LA","City","67.0000000000","Weather (NRP)","10789","-67",".99","1","163","YELLOW"
"33.7083200000","-84.2744740000","Panthersville CDP,GA","City","44.0000000000","Weather (NRP)","10800","-44",".68","1","164","ORANGE"
"28.1480490000","-82.5172940000","Cheval CDP,FL","City","56.0000000000","Weather (NRP)","10808","-56",".32","1","165","ORANGE"
"41.6455980000","-87.7400780000","Crestwood village,IL","City","35.0000000000","Weather (NRP)","10831","-35",".95","1","166","ORANGE"
"35.4748540000","-81.2381070000","Lincolnton city,NC","City","80.0000000000","Weather (NRP)","10832","-80",".60","1","167","YELLOW"
"33.9829890000","-81.1513550000","Oak Grove CDP,SC","City","20.0000000000","Weather (NRP)","10835","-20",".40","1","168","RED"
"37.3749340000","-79.2771490000","Forest CDP,VA","City","20.0000000000","Weather (NRP)","10836","-20",".40","1","169","RED"
"38.5685380000","-121.3549620000","La Riviera CDP,CA","City","1.0000000000","Weather (NRP)","10840","-1",".97","1","170","RED"
"28.0476490000","-97.0499710000","Rockport city,TX","City","95.0000000000","Weather (NRP)","10841","-95",".15","1","171","YELLOW"
"33.2015280000","-96.5179710000","Princeton city,TX","City","86.0000000000","Weather (NRP)","10846","-86",".42","1","172","YELLOW"
"42.6752490000","-88.2718710000","Burlington city,WI","City","84.0000000000","Weather (NRP)","10847","-84",".48","1","173","YELLOW"
"29.5086370000","-94.9886770000","Bacliff CDP,TX","City","16.0000000000","Weather (NRP)","10856","-16",".52","1","174","RED"
"39.7524550000","-77.5821910000","Waynesboro borough,PA","City","54.0000000000","Weather (NRP)","10860","-54",".38","1","175","ORANGE"
"30.8450030000","-93.2952000000","DeRidder city,LA","City","15.0000000000","Weather (NRP)","10861","-15",".55","1","176","RED"
"42.4052260000","-83.0976500000","Highland Park city,MI","City","37.0000000000","Weather (NRP)","10867","-37",".89","1","177","ORANGE"
"35.2497130000","-87.3325020000","Lawrenceburg city,TN","City","84.0000000000","Weather (NRP)","10877","-84",".48","1","178","YELLOW"
"37.6066970000","-93.4167090000","Bolivar city,MO","City","96.0000000000","Weather (NRP)","10880","-96",".12","1","179","YELLOW"
"43.0262560000","-108.3813030000","Riverton city,WY","City","87.0000000000","Weather (NRP)","10891","-87",".39","1","180","YELLOW"
"39.5627290000","-89.3082590000","Taylorville city,IL","City","96.0000000000","Weather (NRP)","10893","-96",".12","1","181","YELLOW"
"39.6161650000","-77.7702960000","Halfway CDP,MD","City","38.0000000000","Weather (NRP)","10898","-38",".86","1","182","ORANGE"
"38.8757000000","-76.8854430000","Walker Mill CDP,MD","City","66.0000000000","Weather (NRP)","10904","-66",".02","1","183","ORANGE"
"41.7979860000","-85.4178820000","Sturgis city,MI","City","88.0000000000","Weather (NRP)","10905","-88",".36","1","184","YELLOW"
"35.9034690000","-77.5589400000","Tarboro town,NC","City","67.0000000000","Weather (NRP)","10915","-67",".99","1","185","YELLOW"
"37.4891000000","-77.5438940000","Manchester CDP,VA","City","15.0000000000","Weather (NRP)","10919","-15",".55","1","186","RED"
"34.3735790000","-92.8212500000","Malvern city,AR","City","96.0000000000","Weather (NRP)","10920","-96",".12","1","187","YELLOW"
"43.0704480000","-75.6735610000","Oneida city,NY","City","74.0000000000","Weather (NRP)","10948","-74",".78","1","188","YELLOW"
"44.0258930000","-116.9760180000","Ontario city,OR","City","72.0000000000","Weather (NRP)","10966","-72",".84","1","189","YELLOW"
"38.7311160000","-120.7976770000","Placerville city,CA","City","9.0000000000","Weather (NRP)","10970","-9",".73","1","190","RED"
"29.7451650000","-95.2345760000","Galena Park city,TX","City","34.0000000000","Weather (NRP)","10983","-34",".98","1","191","ORANGE"
"39.7292880000","-75.6978700000","Pike Creek Valley CDP,DE","City","46.0000000000","Weather (NRP)","10989","-46",".62","1","192","ORANGE"
"43.0549690000","-86.2193490000","Grand Haven city,MI","City","21.0000000000","Weather (NRP)","10994","-21",".37","1","193","RED"
"39.9731490000","-74.5692110000","Browns Mills CDP,NJ","City","8.0000000000","Weather (NRP)","10998","-8",".76","1","194","RED"
"33.5676720000","-92.8490640000","Camden city,AR","City","79.0000000000","Weather (NRP)","10999","-79",".63","1","195","YELLOW"
"39.9732440000","-76.7920360000","Shiloh CDP,PA","City","20.0000000000","Weather (NRP)","11007","-20",".40","1","196","RED"
"26.4757080000","-97.7777440000","Raymondville city,TX","City","82.0000000000","Weather (NRP)","11021","-82",".54","1","197","YELLOW"
"40.6099420000","-112.4801870000","Grantsville city,UT","City","49.0000000000","Weather (NRP)","11021","-49",".53","1","198","ORANGE"
"35.2357630000","-81.3504030000","Kings Mountain city,NC","City","73.0000000000","Weather (NRP)","11028","-73",".81","1","199","YELLOW"
"30.5308200000","-89.6706280000","Picayune city,MS","City","84.0000000000","Weather (NRP)","11040","-84",".48","1","200","YELLOW"
"40.8647960000","-84.5885180000","Van Wert city,OH","City","95.0000000000","Weather (NRP)","11045","-95",".15","1","201","YELLOW"
"29.6703310000","-95.6600420000","Four Corners CDP,TX","City","82.0000000000","Weather (NRP)","11049","-82",".54","1","202","YELLOW"
"43.1470250000","-95.1526910000","Spencer city,IA","City","99.0000000000","Weather (NRP)","11052","-99",".03","1","203","YELLOW"
"30.3088380000","-93.2079130000","Moss Bluff CDP,LA","City","19.0000000000","Weather (NRP)","11055","-19",".43","1","204","RED"
"32.8622190000","-90.4079960000","Yazoo City city,MS","City","93.0000000000","Weather (NRP)","11063","-93",".21","1","205","YELLOW"
"40.2617520000","-81.8472920000","Coshocton city,OH","City","88.0000000000","Weather (NRP)","11063","-88",".36","1","206","YELLOW"
"45.4000190000","-122.2695800000","Sandy city,OR","City","24.0000000000","Weather (NRP)","11070","-24",".28","1","207","RED"
"38.2521050000","-76.4493730000","Lexington Park CDP,MD","City","38.0000000000","Weather (NRP)","11082","-38",".86","1","208","ORANGE"
"41.6670830000","-70.2007930000","South Yarmouth CDP,MA","City","91.0000000000","Weather (NRP)","11091","-91",".27","1","209","YELLOW"
"38.9097870000","-75.4223010000","Milford city,DE","City","8.0000000000","Weather (NRP)","11111","-8",".76","1","210","RED"
"34.1362390000","-83.6021570000","Jefferson city,GA","City","87.0000000000","Weather (NRP)","11114","-87",".39","1","211","YELLOW"
"46.2443350000","-119.9089980000","Grandview city,WA","City","58.0000000000","Weather (NRP)","11116","-58",".26","1","212","ORANGE"
"40.3936010000","-79.9009540000","Munhall borough,PA","City","65.0000000000","Weather (NRP)","11121","-65",".05","1","213","ORANGE"
"34.2650530000","-110.0383210000","Show Low city,AZ","City","67.0000000000","Weather (NRP)","11130","-67",".99","1","214","YELLOW"
